Id,Label,timeset,lat,lng,kind of node,cityquartier,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized
https://www.instagram.com/ann.efeu/,ann.efeu,,,,a,DuisburgRuhrort,2,4,0.416667,0.446396,2.535171,3,3,6,3,3,6,3,0.014218,0.810427,0.283981,102.850149,0.048726
https://www.instagram.com/cafekasbar/,cafekasba,,51.415417,6.761965,a,DuisburgRuhrort,2,4,0.416667,0.45045,31.871401,12,7,19,12,7,19,12,0.056872,0.810427,0.340499,257.059838,0.121785
https://www.instagram.com/atlantic_moers/,atlantic_moer,,51.451659,6.623326,a,DuisburgRuhrort,0,5,0.318966,0.345315,6.228709,5,5,10,5,5,10,5,0.023697,0.810427,0.253351,51.452869,0.024376
https://www.instagram.com/chamaeleon_band/,chamaeleon_band,,,,a,DuisburgRuhrort,0,4,0.344507,0.388739,43.231367,11,14,25,11,14,25,11,0.052133,0.810427,0.246589,154.342769,0.073122
https://www.instagram.com/saphijo/,saphijo,,,,a,DuisburgRuhrort,0,4,0.355769,0.402252,122.068859,10,15,25,10,15,25,10,0.047393,0.810427,0.246151,154.342769,0.073122
https://www.instagram.com/bdkjkr/,bdkjkr,,,,a,DuisburgRuhrort,0,6,0.219194,0.238378,266.568831,4,3,7,4,3,7,4,0.018957,0.810427,0.257111,154.086339,0.073
https://www.instagram.com/du_tours/,du_tour,,51.454423,6.729322,a,DuisburgRuhrort,3,3,0.604575,0.716216,1900.231056,49,88,137,49,88,137,49,0.232227,0.810427,0.421225,1082.242907,0.512725
https://www.instagram.com/passione_espresso/,passione_espress,,51.432503,6.768048,a,DuisburgRuhrort,2,5,0.333935,0.353153,0.515321,12,1,13,12,1,13,12,0.056872,0.810427,0.322286,308.602267,0.146204
https://www.instagram.com/bi_royal_krefeld/,bi_royal_krefel,,51.327752,6.557583,a,DuisburgRuhrort,0,6,0.218935,0.235676,0,3,2,5,3,2,5,3,0.014218,0.810427,0.207459,51.318845,0.024313
https://www.instagram.com/cafeoje/,cafeoj,,51.336642,6.567809,a,DuisburgRuhrort,0,6,0.218935,0.235676,0.5,4,2,6,4,2,6,4,0.018957,0.810427,0.207771,102.646597,0.04863
https://www.instagram.com/freizeitzentrumsued/,freizeitzentrumsue,,51.318845,6.574784,a,DuisburgRuhrort,0,5,0.279456,0.31,547,4,4,8,4,4,8,4,0.018957,0.810427,0.207771,102.664394,0.048638
https://www.instagram.com/brauprojekt_777/,brauprojekt_77,,51.610378,6.623138,a,DuisburgRuhrort,2,4,0.436321,0.465315,3.707314,5,5,10,5,5,10,5,0.023697,0.810427,0.304578,154.354018,0.073127
https://www.instagram.com/fraeuleinbetty_duisburg/,fraeuleinbetty_duisbur,,51.435783,6.759754,a,DuisburgRuhrort,2,4,0.488127,0.542793,290.064307,18,27,45,18,27,45,18,0.085308,0.810427,0.361835,413.626698,0.19596
https://www.instagram.com/heimatshoppen_ndrh/,heimatshoppen_ndrh,,,,a,DuisburgRuhrort,3,4,0.436321,0.471171,68.260697,21,9,30,21,9,30,21,0.099526,0.810427,0.375564,565.926595,0.268114
https://www.instagram.com/msvduisburg/,msvduisbur,,51.409118,6.778602,a,DuisburgRuhrort,3,5,0.360624,0.393514,138.091026,42,4,46,42,4,46,42,0.199052,0.810427,0.397086,1131.581263,0.536099
https://www.instagram.com/weinvilla/,weinvill,,51.433167,6.788107,a,DuisburgRuhrort,2,4,0.383817,0.41982,8.088184,19,6,25,19,6,25,19,0.090047,0.810427,0.361835,360.105726,0.170604
https://www.instagram.com/wir_der_westen/,wir_der_westen,,,,a,DuisburgRuhrort,1,5,0.372233,0.42009,323.300428,9,11,20,9,11,20,9,0.042654,0.810427,0.338834,154.389391,0.073144
https://www.instagram.com/biergartenhafensturm/,biergartenhafenstur,,51.454776,6.719291,a,DuisburgRuhrort,3,4,0.4102,0.446847,26.605693,9,8,17,9,8,17,9,0.042654,0.810427,0.333132,310.818241,0.147254
https://www.instagram.com/fritzkola/,fritzkola,,,,a,DuisburgRuhrort,2,0,0,0,0,4,0,4,4,0,4,4,0.018957,0.815166,0.293938,205.654555,0.097431
https://www.instagram.com/koenigpilsener/,koenigpilsene,,51.490092,6.872449,a,DuisburgRuhrort,3,4,0.433255,0.472072,222.671993,19,9,28,19,9,28,19,0.090047,0.810427,0.363735,463.010736,0.219357
https://www.instagram.com/restaurantrenzis/,restaurantrenzi,,51.477418,6.668007,a,DuisburgRuhrort,5,3,0.443645,0.481081,191.723164,9,13,22,9,13,22,9,0.042654,0.810427,0.306599,259.361671,0.122876
https://www.instagram.com/bravenewworldmusic/,bravenewworldmusic,,,,a,DuisburgRuhrort,0,5,0.299353,0.330901,0.826347,6,6,12,6,6,12,6,0.028436,0.810427,0.236894,102.891109,0.048746
https://www.instagram.com/dackelton/,dackelto,,51.547404,6.601615,a,DuisburgRuhrort,0,5,0.304276,0.334505,264.260632,11,6,17,11,6,17,11,0.052133,0.810427,0.270142,102.891109,0.048746
https://www.instagram.com/jacqueswienicke/,jacqueswienicke,,,,a,DuisburgRuhrort,0,4,0.332734,0.365766,13.111854,9,9,18,9,9,18,9,0.042654,0.810427,0.244414,154.160667,0.073035
https://www.instagram.com/krossekrabbe_/,krossekrabbe,,51.269557,6.626169,a,DuisburgRuhrort,0,4,0.371486,0.404054,170.951222,8,7,15,8,7,15,8,0.037915,0.810427,0.254748,51.452869,0.024376
https://www.instagram.com/brinkmann.stephan/,brinkmann.stephan,,,,a,DuisburgRuhrort,2,4,0.44686,0.485135,4.537426,6,11,17,6,11,17,6,0.028436,0.810427,0.316399,51.434731,0.024368
https://www.instagram.com/melsfreshfood/,melsfreshfood,,,,a,DuisburgRuhrort,2,5,0.40305,0.455946,22.415595,12,13,25,12,13,25,12,0.056872,0.810427,0.319316,308.495761,0.146153
https://www.instagram.com/rheineis_duisburg/,rheineis_duisbur,,51.392499,6.798309,a,DuisburgRuhrort,2,4,0.473146,0.535586,65.615653,20,29,49,20,29,49,20,0.094787,0.810427,0.355341,411.405357,0.194908
https://www.instagram.com/budenglueck/,budenglueck,,,,a,DuisburgRuhrort,1,5,0.347092,0.386486,692.410523,11,9,20,11,9,20,11,0.052133,0.810427,0.310724,102.922499,0.048761
https://www.instagram.com/happyruhrgebiet/,happyruhrgebiet,,,,a,DuisburgRuhrort,1,4,0.386221,0.43964,262.02996,5,15,20,5,15,20,5,0.023697,0.810427,0.314961,51.432407,0.024367
https://www.instagram.com/immerhinmusik/,immerhinmusik,,,,a,DuisburgRuhrort,1,5,0.299353,0.317297,0,2,2,4,2,2,4,2,0.009479,0.810427,0.225338,51.432407,0.024367
https://www.instagram.com/kulturgut.pommesbude/,kulturgut.pommesbude,,,,a,DuisburgRuhrort,1,5,0.284178,0.307928,0,2,2,4,2,2,4,2,0.009479,0.810427,0.225338,51.432407,0.024367
https://www.instagram.com/offranz/,offranz,,,,a,DuisburgRuhrort,1,6,0.25802,0.273604,0,2,1,3,2,1,3,2,0.009479,0.810427,0.225338,51.432407,0.024367
https://www.instagram.com/sylviasabrowski/,sylviasabrowski,,,,a,DuisburgRuhrort,1,5,0.314626,0.33982,1.724533,3,3,6,3,3,6,3,0.014218,0.810427,0.234489,51.432407,0.024367
https://www.instagram.com/tonis_ecke/,tonis_eck,,51.432407,6.792928,a,DuisburgRuhrort,1,4,0.423341,0.466216,368.919692,3,12,15,3,12,15,3,0.014218,0.810427,0.289922,0,0
https://www.instagram.com/fabriccaespressobar/,fabriccaespressobar,,,,a,DuisburgRuhrort,2,4,0.435294,0.486036,23.093489,13,17,30,13,17,30,13,0.061611,0.810427,0.330747,411.431649,0.19492
https://www.instagram.com/callebautchocolate/,callebautchocolate,,,,a,DuisburgRuhrort,4,1,1,1,9.676923,4,1,5,4,1,5,4,0.018957,0.843602,0.27302,51.455384,0.024378
https://www.instagram.com/digihub.de/,digihub.d,,51.215767,6.751673,a,DuisburgRuhrort,3,6,0.278614,0.302793,0.225276,4,2,6,4,2,6,4,0.018957,0.810427,0.286921,154.331765,0.073116
https://www.instagram.com/dudagentur/,dudagentur,,,,a,DuisburgRuhrort,3,4,0.545723,0.647297,46.254076,11,65,76,11,65,76,11,0.052133,0.810427,0.330747,154.340497,0.073121
https://www.instagram.com/hakanmartensson/,hakanmartensson,,,,a,DuisburgRuhrort,4,1,1,1,0,2,1,3,2,1,3,2,0.009479,0.843602,0.267191,51.455384,0.024378
https://www.instagram.com/happywifelife/,happywifelife,,,,a,DuisburgRuhrort,,,,,,1,1,2,1,1,2,1,0.004739,0.810427,0.251969,51.455384,0.024378
https://www.instagram.com/heimathafenduisburg/,heimathafenduisbur,,51.454393,6.736054,a,DuisburgRuhrort,0,3,0.452323,0.473874,274.989779,4,5,9,4,5,9,4,0.018957,0.810427,0.312124,102.909807,0.048755
https://www.instagram.com/himmelsatt/,himmelsatt,,,,a,DuisburgRuhrort,2,4,0.528571,0.613964,152.400388,17,52,69,17,52,69,17,0.080569,0.810427,0.326847,359.74798,0.170435
https://www.instagram.com/ikea.duisburg/,ikea.duisbur,,51.482661,6.76378,a,DuisburgRuhrort,3,4,0.494652,0.592342,116.252773,11,51,62,11,51,62,11,0.052133,0.810427,0.340499,308.627796,0.146216
https://www.instagram.com/jameswesleyfurniture/,jameswesleyfurniture,,,,a,DuisburgRuhrort,3,0,0,0,0,2,0,2,2,0,2,2,0.009479,0.819905,0.256498,51.455384,0.024378
https://www.instagram.com/kaelte_rudi/,kaelte_rud,,48.890478,8.612411,a,DuisburgRuhrort,,,,,,1,2,3,1,2,3,1,0.004739,0.810427,0.251969,51.455384,0.024378
https://www.instagram.com/kaiserhafen/,kaiserhafe,,53.560502,8.566027,a,DuisburgRuhrort,2,4,0.427252,0.471622,5.237757,4,12,16,4,12,16,4,0.018957,0.810427,0.293608,154.395099,0.073146
https://www.instagram.com/krankikom/,krankiko,,51.435559,6.758433,a,DuisburgRuhrort,3,4,0.412946,0.463514,44.798821,10,15,25,10,15,25,10,0.047393,0.810427,0.345593,205.835017,0.097517
https://www.instagram.com/marensbuntewelt/,marensbuntewelt,,,,a,DuisburgRuhrort,2,4,0.419501,0.454505,1.904366,3,7,10,3,7,10,3,0.014218,0.810427,0.288714,154.34559,0.073123
https://www.instagram.com/melie.fit.uk/,melie.fit.uk,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.254001,51.455384,0.024378
https://www.instagram.com/msv_hockey/,msv_hocke,,51.461429,6.778039,a,DuisburgRuhrort,3,4,0.467172,0.526126,21.973929,9,26,35,9,26,35,9,0.042654,0.810427,0.328396,154.294508,0.073099
https://www.instagram.com/msvduisburgnews/,msvduisburgnews,,,,a,DuisburgRuhrort,3,5,0.347092,0.374505,0.440304,8,3,11,8,3,11,8,0.037915,0.810427,0.320794,154.343073,0.073122
https://www.instagram.com/rheinruhrmarathon_duisburg/,rheinruhrmarathon_duisburg,,,,a,DuisburgRuhrort,3,4,0.425287,0.473423,10.152754,17,14,31,17,14,31,17,0.080569,0.810427,0.349075,360.052374,0.170579
https://www.instagram.com/stadtsportbund_duisburg/,stadtsportbund_duisbur,,51.408434,6.781402,a,DuisburgRuhrort,3,4,0.450122,0.516216,86.586675,28,26,54,28,26,54,28,0.132701,0.810427,0.368572,617.307886,0.292457
https://www.instagram.com/swissbaker.ch/,swissbaker.ch,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.254001,51.455384,0.024378
https://www.instagram.com/toertchentoertchen/,toertchentoertchen,,,,a,DuisburgRuhrort,4,2,0.666667,0.75,16.626793,4,1,5,4,1,5,4,0.018957,0.815166,0.277092,100.345862,0.04754
https://www.instagram.com/waz_redaktion/,waz_redaktion,,,,a,DuisburgRuhrort,1,6,0.285054,0.318018,20.007774,15,6,21,15,6,21,15,0.07109,0.810427,0.344734,362.222066,0.171607
https://www.instagram.com/wohnwertservice/,wohnwertservic,,53.572754,10.01384,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.254001,51.455384,0.024378
https://www.instagram.com/woodworking_planning/,woodworking_planning,,,,a,DuisburgRuhrort,,,,,,1,1,2,1,1,2,1,0.004739,0.815166,0.254001,51.455384,0.024378
https://www.instagram.com/feuerwehrduisburg/,feuerwehrduisburg,,,,a,DuisburgRuhrort,3,5,0.359922,0.38982,0.924665,15,3,18,15,3,18,15,0.07109,0.810427,0.350843,257.220637,0.121861
https://www.instagram.com/gemeindehaus_ruhrort/,gemeindehaus_ruhror,,51.451583,6.738182,a,DuisburgRuhrort,5,4,0.438389,0.472973,818.169488,7,16,23,7,16,23,7,0.033175,0.810427,0.309337,154.361413,0.07313
https://www.instagram.com/marmeladekisses/,marmeladekisses,,,,a,DuisburgRuhrort,2,4,0.508242,0.579279,623.510508,15,40,55,15,40,55,15,0.07109,0.810427,0.360893,359.932623,0.170522
https://www.instagram.com/stadtwerkeduisburg/,stadtwerkeduisburg,,,,a,DuisburgRuhrort,3,4,0.465995,0.531982,118.673737,19,30,49,19,30,49,19,0.090047,0.810427,0.364692,411.492498,0.194949
https://www.instagram.com/janine_w_93/,janine_w_93,,,,a,DuisburgRuhrort,0,4,0.328597,0.354054,9.554251,5,6,11,5,6,11,5,0.023697,0.810427,0.234093,51.452869,0.024376
https://www.instagram.com/merdehappens/,merdehappens,,,,a,DuisburgRuhrort,0,3,0.454545,0.488288,1023.058151,11,12,23,11,12,23,11,0.052133,0.810427,0.310029,154.160667,0.073035
https://www.instagram.com/noahwarwelmusic/,noahwarwelmusic,,,,a,DuisburgRuhrort,0,4,0.333935,0.361261,8.020348,8,6,14,8,6,14,8,0.037915,0.810427,0.243984,102.891109,0.048746
https://www.instagram.com/cor_scher/,cor_sche,,51.485292,7.214392,a,DuisburgRuhrort,2,4,0.492021,0.570721,38.227927,7,40,47,7,40,47,7,0.033175,0.810427,0.302583,207.87059,0.098481
https://www.instagram.com/frank_schwarz_gastro_group/,frank_schwarz_gastro_grou,,51.440387,6.753894,a,DuisburgRuhrort,3,4,0.478036,0.540541,211.760565,14,30,44,14,30,44,14,0.066351,0.810427,0.332333,257.23131,0.121866
https://www.instagram.com/ingenhammshof/,ingenhammshof,,,,a,DuisburgRuhrort,3,5,0.372233,0.418108,0.801847,8,10,18,8,10,18,8,0.037915,0.810427,0.345593,154.40157,0.073149
https://www.instagram.com/criticalmass.duisburg/,criticalmass.duisburg,,,,a,DuisburgRuhrort,2,4,0.504087,0.580631,41.114048,8,42,50,8,42,50,8,0.037915,0.810427,0.323037,102.864401,0.048733
https://www.instagram.com/kentcoda/,kentcoda,,,,a,DuisburgRuhrort,0,6,0.233586,0.246847,0,3,1,4,3,1,4,3,0.014218,0.810427,0.21893,51.547404,0.024421
https://www.instagram.com/danefaecph/,danefaecph,,,,a,DuisburgRuhrort,4,2,0.75,0.833333,19.128361,3,2,5,3,2,5,3,0.014218,0.829384,0.288553,51.434731,0.024368
https://www.instagram.com/einfach_brendel/,einfach_brende,,51.436726,6.770281,a,DuisburgRuhrort,2,0,0,0,0,12,0,12,12,0,12,12,0.056872,0.815166,0.331462,310.753438,0.147223
https://www.instagram.com/rheinischepost/,rheinischepost,,,,a,DuisburgRuhrort,3,0,0,0,0,14,0,14,14,0,14,14,0.066351,0.815166,0.36897,359.985586,0.170547
https://www.instagram.com/ruhrorterhafenkids/,ruhrorterhafenkid,,51.456282,6.731138,a,DuisburgRuhrort,0,0,0,0,0,3,0,3,3,0,3,3,0.014218,0.815166,0.308829,51.454423,0.024377
https://www.instagram.com/steinhofduisburgeventlocation/,steinhofduisburgeventlocatio,,51.362594,6.750271,a,DuisburgRuhrort,3,4,0.476804,0.541892,124.335347,12,31,43,12,31,43,12,0.056872,0.810427,0.349957,257.220637,0.121861
https://www.instagram.com/heimathaeppchen/,heimathaeppchen,,,,a,DuisburgRuhrort,1,5,0.332734,0.368468,236.705757,7,8,15,7,8,15,7,0.033175,0.810427,0.332333,102.912149,0.048756
https://www.instagram.com/fakt.ag/,fakt.a,,51.443608,7.033625,a,DuisburgRuhrort,,,,,,1,1,2,1,1,2,1,0.004739,0.810427,0.224244,51.451583,0.024376
https://www.instagram.com/espresso.perfetto.germany/,espresso.perfetto.germany,,,,a,DuisburgRuhrort,2,0,0,0,0,2,0,2,2,0,2,2,0.009479,0.815166,0.287313,102.867791,0.048735
https://www.instagram.com/hochzeitslocation.de/,hochzeitslocation.de,,,,a,DuisburgRuhrort,5,4,0.432243,0.472973,202.096459,6,13,19,6,13,19,6,0.028436,0.810427,0.276613,257.167765,0.121836
https://www.instagram.com/frau.laduck/,,,,,,,2,4,0.402174,0.435135,1.038252,3,3,6,3,3,6,3,0.014218,0.810427,0.28515,102.869701,0.048736
https://www.instagram.com/spelunken_spektakel/,spelunken_spektakel,,,,a,DuisburgRuhrort,0,4,0.384615,0.458559,1263.804533,6,30,36,6,30,36,6,0.028436,0.810427,0.257589,154.224821,0.073066
https://www.instagram.com/benjaminbergenfotografie/,benjaminbergenfotografi,,47.596294,7.654278,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.226143,51.451583,0.024376
https://www.instagram.com/deinhochzeitsplaner/,deinhochzeitsplaner,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.226143,51.451583,0.024376
https://www.instagram.com/die_hochzeitsplaner/,die_hochzeitsplaner,,,,a,DuisburgRuhrort,5,0,0,0,0,2,0,2,2,0,2,2,0.009479,0.815166,0.230606,51.451583,0.024376
https://www.instagram.com/die.hochzeitsplaner/,,,,,,,5,0,0,0,0,2,0,2,2,0,2,2,0.009479,0.815166,0.230606,51.451583,0.024376
https://www.instagram.com/enderulupinar/,enderulupina,,51.524673,7.021936,a,DuisburgRuhrort,5,0,0,0,0,2,0,2,2,0,2,2,0.009479,0.815166,0.227981,51.451583,0.024376
https://www.instagram.com/hochzeitsfeen/,hochzeitsfee,,47.494459,9.720269,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.226143,51.451583,0.024376
https://www.instagram.com/hochzeitsplaner_/,hochzeitsplaner_,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.226143,51.451583,0.024376
https://www.instagram.com/hochzeitssaal_finder/,hochzeitssaal_finder,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.226143,51.451583,0.024376
https://www.instagram.com/jenni_summergirl/,jenni_summergirl,,,,a,DuisburgRuhrort,5,4,0.333935,0.354955,20.847048,2,4,6,2,4,6,2,0.009479,0.810427,0.24747,51.451583,0.024376
https://www.instagram.com/ruhrturm/,ruhrtur,,51.443608,7.033625,a,DuisburgRuhrort,5,0,0,0,0,2,0,2,2,0,2,2,0.009479,0.815166,0.230606,51.451583,0.024376
https://www.instagram.com/glynt.hair/,glynt.hair,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.280979,51.434731,0.024368
https://www.instagram.com/irislr97/,irislr97,,,,a,DuisburgRuhrort,,,,,,1,1,2,1,1,2,1,0.004739,0.810427,0.278839,51.434731,0.024368
https://www.instagram.com/kinglouiefashion/,kinglouiefashion,,,,a,DuisburgRuhrort,4,4,0.384615,0.483333,0,2,1,3,2,1,3,2,0.009479,0.819905,0.283687,51.434731,0.024368
https://www.instagram.com/lenarttgrs/,lenarttgrs,,,,a,DuisburgRuhrort,2,4,0.4102,0.444595,0,2,4,6,2,4,6,2,0.009479,0.810427,0.29867,51.434731,0.024368
https://www.instagram.com/mademoiselle_yeye/,mademoiselle_yeye,,,,a,DuisburgRuhrort,4,3,0.555556,0.666667,4,2,2,4,2,2,4,2,0.009479,0.819905,0.283687,51.434731,0.024368
https://www.instagram.com/peng_drink/,peng_drink,,,,a,DuisburgRuhrort,,,,,,1,1,2,1,1,2,1,0.004739,0.810427,0.278839,51.434731,0.024368
https://www.instagram.com/schlemmerblock_/,schlemmerblock_,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.280979,51.434731,0.024368
https://www.instagram.com/stamps_official/,stamps_official,,,,a,DuisburgRuhrort,2,5,0.286822,0.30027,0,2,1,3,2,1,3,2,0.009479,0.810427,0.279966,51.434731,0.024368
https://www.instagram.com/stampsuhrenshop/,stampsuhrenshop,,,,a,DuisburgRuhrort,2,4,0.401302,0.432432,184.893603,3,2,5,3,2,5,3,0.014218,0.810427,0.283401,51.434731,0.024368
https://www.instagram.com/realreiners/,realreiners,,,,a,DuisburgRuhrort,0,1,1,1,83.09676,4,1,5,4,1,5,4,0.018957,0.819905,0.273829,0,0
https://www.instagram.com/neumeiermoritz/,neumeiermoritz,,,,a,DuisburgRuhrort,0,1,1,1,1.776923,3,1,4,3,1,4,3,0.014218,0.819905,0.22094,51.269557,0.02429
https://www.instagram.com/cuigmusic/,cuigmusic,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.197477,0,0
https://www.instagram.com/heymannjakob/,heymannjakob,,,,a,DuisburgRuhrort,,,,,,1,0,1,1,0,1,1,0.004739,0.815166,0.197477,0,0
https://www.instagram.com/deine_hochzeitsplanerin/,deine_hochzeitsplaneri,,51.022802,13.826359,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/stahlkind_steel_fashion/,stahlkind_steel_fashio,,51.399255,6.667643,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/kruemelkueche/,kruemelkuech,,51.423146,6.76074,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/grammatikoff/,grammatikof,,51.43069,6.761267,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/andreasschultekemper/,andreasschultekempe,,51.443608,7.033625,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/kreativquartier_ruhrort/,kreativquartier_ruhror,,51.451583,6.738182,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/bollwerk107/,bollwerk10,,51.452869,6.640349,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
https://www.instagram.com/becker.schmitz/,becker.schmit,,51.474406,6.626841,a,DuisburgRuhrort,,,,,,0,0,0,0,0,0,,,0,0,0,0
